"filename", "language", "XML", "JSON", "YAML", "Dart", "Markdown", "Groovy", "Properties", "C++", "HTML", "Swift", "comment", "blank", "total"
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/AppIcons-Klomi/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 14, 84
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/google-services.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/debug/AndroidManifest.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/AndroidManifest.xml", "XML", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 78
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/drawable/launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/values-night/styles.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
