Date : 2023-03-08 22:29:34
Directory : /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi
Total : 270 files,  30643 codes, 1145 comments, 1872 blanks, all 33660 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        227 |     28,611 |      1,024 |      1,795 |     31,430 |
| JSON       |         10 |      1,521 |          0 |          1 |      1,522 |
| XML        |         21 |        260 |         49 |         27 |        336 |
| Groovy     |          3 |        102 |          3 |         23 |        128 |
| YAML       |          2 |         84 |         53 |         14 |        151 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Swift      |          1 |         14 |          0 |          3 |         17 |
| Properties |          3 |         12 |          0 |          2 |         14 |
| Markdown   |          1 |          1 |          0 |          0 |          1 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                   |        270 |     30,643 |      1,145 |      1,872 |     33,660 |
| . (Files)                                                                                                                                                                                           |          4 |        103 |         53 |         14 |        170 |
| AppIcons-Klomi                                                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| AppIcons-Klomi/Assets.xcassets                                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| AppIcons-Klomi/Assets.xcassets/AppIcon.appiconset                                                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| Assets.xcassets                                                                                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| Assets.xcassets/AppIcon.appiconset                                                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| android                                                                                                                                                                                             |         15 |        273 |         50 |         40 |        363 |
| android (Files)                                                                                                                                                                                     |          4 |         42 |          0 |         10 |         52 |
| android/app                                                                                                                                                                                         |         10 |        226 |         50 |         29 |        305 |
| android/app (Files)                                                                                                                                                                                 |          2 |        121 |          3 |         14 |        138 |
| android/app/src                                                                                                                                                                                     |          8 |        105 |         47 |         15 |        167 |
| android/app/src/debug                                                                                                                                                                               |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                                                                                                                                |          6 |         97 |         39 |         13 |        149 |
| android/app/src/main (Files)                                                                                                                                                                        |          1 |         64 |          7 |          7 |         78 |
| android/app/src/main/res                                                                                                                                                                            |          5 |         33 |         32 |          6 |         71 |
| android/app/src/main/res/drawable                                                                                                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                                                                     |          2 |         16 |          9 |          1 |         26 |
| android/app/src/main/res/values-night                                                                                                                                                               |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                                                             |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                                                              |         14 |      1,498 |          0 |         10 |      1,508 |
| assets (Files)                                                                                                                                                                                      |         12 |         78 |          0 |         10 |         88 |
| assets/languages                                                                                                                                                                                    |          2 |      1,420 |          0 |          0 |      1,420 |
| ios                                                                                                                                                                                                 |          6 |         84 |          2 |          6 |         92 |
| ios (Files)                                                                                                                                                                                         |          1 |          7 |          0 |          0 |          7 |
| ios/Runner                                                                                                                                                                                          |          5 |         77 |          2 |          6 |         85 |
| ios/Runner (Files)                                                                                                                                                                                  |          2 |         15 |          0 |          4 |         19 |
| ios/Runner/Assets.xcassets                                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| ios/Runner/Base.lproj                                                                                                                                                                               |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                                                 |        226 |     28,603 |      1,009 |      1,788 |     31,400 |
| lib (Files)                                                                                                                                                                                         |          5 |        273 |         97 |         35 |        405 |
| lib/api_call                                                                                                                                                                                        |          1 |        122 |          5 |          8 |        135 |
| lib/controllers                                                                                                                                                                                     |          4 |        292 |         12 |         34 |        338 |
| lib/contstant                                                                                                                                                                                       |          4 |        104 |          8 |         10 |        122 |
| lib/enums                                                                                                                                                                                           |          4 |         31 |          1 |          5 |         37 |
| lib/global_widgets                                                                                                                                                                                  |          3 |        138 |          0 |         15 |        153 |
